prime,TARGET,relation1_f-t,relation2_f-t,FAS_f-t,BAS_f-t,f_CUEfanout,TARGETfanin,rank,LSA_f-t,BEAGLE_RPs,BEAGLE_PMI,BEAGLE cosine,BEAGLE WIKI NIN,BEAGLE WIKI Cosine,LSA
region,area,synonym,NA,0.512,0,10,35,1,0.62,0.620379848,0.254406944,0.743673429,2,0.39585095,0.259201674
debate,argue,synonym,NA,0.473,3.40E-02,9,16,1,0.46,0.296857039,0.390476098,0.373684408,98,0.636742321,0.71244724
disagreement,argument,synonym,NA,0.444,3.40E-02,8,16,1,0.39,0.312414002,0.424937075,0.207956825,1007,0.585610342,0.720503716
shoulder,arm,category,NA,0.335,0,21,43,1,0.7,0.162721657,1.336940516,0.688243992,3,0.724679482,0.868106049
knight,armor,script,NA,0.517,0.293,11,5,1,0.6,0.076471241,0.807945032,0.275943404,32,0.235155951,0.37289422
octopus,arms,perceptual property,NA,0.153,0,11,11,1,0.31,0.130949997,0.462275151,0.172620118,759,0.267605552,0.218377704
corporal,army,script,NA,0.27,0,16,59,1,0.31,0.027175519,0.778103466,0.182616624,156,0.448550514,0.732779701
surrounding,around,synonym,NA,0.16,4.20E-02,17,22,1,0.3,0.288470623,0.200056236,NA,NA,NA,0.465582917
cocky,arrogant,synonym,NA,0.141,7.80E-02,22,12,1,0.11,0,37.8065063,0.064673279,5580,0.505944304,0.712300681
bow,arrow,instrument,NA,0.4,0.53,12,12,1,0.56,0.069619783,8.263317608,0.411026244,2,0.655835417,0.366930055
sculpture,art,supraordinate,NA,0.31,0,20,52,1,0.85,0.185080562,2.159774454,0.517179147,2,0.816763739,0.903057595
con,artist,fpa,NA,0.25,0,15,21,1,0.22,0.045982749,0.942294639,0.117930157,2988,0.403689898,0.200201252
ash,ashtray,instrument,NA,0.255,0.11,12,3,1,0.13,0.050174377,1.710612297,0.142411846,2686,NA,0.31731059
europe,asia,category,NA,0.108,2.60E-02,24,6,1,0.56,0.278745071,3.219223438,0.648549149,8,0.773485343,0.498136118
inquire,ask,synonym,NA,0.48,6.10E-02,13,25,1,0.5,0.210727839,0.694049867,0.178858026,522,0.434234428,0.285882379
unconscious,asleep,synonym,NA,0.15,1.40E-02,16,8,1,0.14,0.074002781,0.754368548,0.140410339,3139,0.343416841,0.559877737
donkey,ass,synonym,NA,0.534,0.27,10,10,1,0.18,0.112922489,3.572186983,0.11489774,5951,0.12615265,0.544118338
helper,assistant,synonym,NA,0.229,0.4,17,7,1,0.17,0.049161965,0.736686558,0.153032798,1859,0.246440313,0.209926747
presume,assume,synonym,NA,0.368,3.90E-02,9,5,1,0.13,0.060960164,0.248416683,0.084546126,3728,0.5136477,0.739652725
neutron,atom,supraordinate,NA,0.233,1.30E-02,11,14,1,0.56,0.094610064,8.671799122,0.504612566,4,0.353271104,0.787323561
assault,attack,synonym,NA,0.169,2.70E-02,18,23,1,0.47,0.081674411,0.48768736,0.243605045,243,0.669316696,0.809178754
try,attempt,synonym,NA,0.13,0.749,16,2,1,0.37,0.51740099,0.219465047,0.530121526,151,0.798321265,0.452328641
basement,attic,antonym,category,0.143,0.205,19,6,1,0.55,0.329281283,6.723379391,0.34731234,54,0.652302014,0.721109693
relative,aunt,supraordinate,NA,0.169,8.70E-02,16,8,1,0.08,0.057535579,0.856885111,0.145089954,9469,0.34728975,0.211518193
kangaroo,australia,script,NA,0.175,NA,11,3,1,0.43,0.050112524,1.749804271,0.136656258,587,0.521859072,0.801989122
car,auto,synonym,NA,0.133,0.784,25,13,1,0.6,0.177204558,1.526177595,0.341824221,768,0.607863735,0.635321334
norm,average,synonym,NA,0.173,0.02,26,20,1,0.29,0.069087483,0.03178577,0.14392885,1394,0.014903022,0.1981131
asleep,awake,antonym,NA,0.371,0.618,15,16,1,0.9,0.096568577,15.45270195,0.380953973,25,0.491232874,0.948705046
merit,award,synonym,NA,0.176,1.40E-02,15,16,1,0.09,0.030477472,2.011789852,0.064581427,17245,0.464289748,0.460255559
unaware,aware,antonym,NA,0.24,8.20E-02,18,12,1,0.46,0.04741199,1.206080758,0.229028792,179,0.826872929,0.648602634
further,away,fpa,NA,0.169,0,13,57,1,0.27,0.060618104,0.166365577,NA,NA,NA,0.294001467
hatchet,ax,category,NA,0.467,3.30E-02,13,6,1,0.39,0.10659558,5.534227494,0.229800637,31,0.313202508,0.439438257
