prime,target,p.POSr,t.POSr,first,second,match,index,JCNvalue,JCNmaki
groom,bride,n,n,"'groom#n#1',","'bride#n#1',",TRUE,groom.bride,18.63,1.900454
england,britain,n,n,"'england#n#1',","'britain#n#1',",TRUE,england.britain,6.7,NA
cauliflower,broccoli,n,n,"'cauliflower#n#1',","'broccoli#n#1',",TRUE,cauliflower.broccoli,0,7.148423
sister,brother,n,n,"'sister#n#1',","'brother#n#1',",TRUE,sister.brother,6.69,4.171394
bristle,brush,n,n,"'bristle#n#1',","'brush#n#1',",TRUE,bristle.brush,17.19,20.237589
burst,bubble,n,n,"'burst#n#1',","'bubble#n#1',",TRUE,burst.bubble,16.95,18.282538
pail,bucket,n,n,"'pail#n#1',","'bucket#n#1',",TRUE,pail.bucket,0,0
bison,buffalo,n,n,"'bison#n#1',","'buffalo#n#1',",TRUE,bison.buffalo,0,0.117783
cricket,bug,n,n,"'cricket#n#1',","'bug#n#1',",TRUE,cricket.bug,9.57,8.647976
contractor,builder,n,n,"'contractor#n#1',","'builder#n#1',",TRUE,contractor.builder,17.74,1.294358
architect,building,n,n,"'architect#n#1',","'building#n#1',",TRUE,architect.building,12.11,11.135237
hobo,bum,n,n,"'hobo#n#1',","'bum#n#1',",TRUE,hobo.bum,17.65,0
lump,bump,n,n,"'lump#n#1',","'bump#n#1',",TRUE,lump.bump,0,18.774759
shrub,bush,n,n,"'shrub#n#1',","'bush#n#1',",TRUE,shrub.bush,0,0
corporation,business,n,n,"'corporation#n#1',","'business#n#1',",TRUE,corporation.business,1.56,2.683195
peanut,butter,n,n,"'peanut#n#1',","'butter#n#1',",TRUE,peanut.butter,0,19.339741
cocoon,butterfly,n,n,"'cocoon#n#1',","'butterfly#n#1',",TRUE,cocoon.butterfly,20.1,19.913575
taxi,cab,n,n,"'taxi#n#1',","'cab#n#1',",TRUE,taxi.cab,15.55,0
coleslaw,cabbage,n,n,"'coleslaw#n#1',","'cabbage#n#1',",TRUE,coleslaw.cabbage,0,21.864614
lodge,cabin,n,n,"'lodge#n#1',","'cabin#n#1',",TRUE,lodge.cabin,0,8.011472
file,cabinet,n,n,"'file#n#1',","'cabinet#n#1',",TRUE,file.cabinet,19.25,8.066793
tourist,camera,n,n,"'tourist#n#1',","'camera#n#1',",TRUE,tourist.camera,16.7,19.455253
tent,camp,n,n,"'tent#n#1',","'camp#n#1',",TRUE,tent.camp,9.22,0
tumor,cancer,n,n,"'tumor#n#1',","'cancer#n#1',",TRUE,tumor.cancer,0.88,0.603676
wick,candle,n,n,"'wick#n#1',","'candle#n#1',",TRUE,wick.candle,0,19.037828
chocolate,candy,n,n,"'chocolate#n#1',","'candy#n#1',",TRUE,chocolate.candy,11.22,13.612109
coke,pepsi,n,n,"'coke#n#1',","'pepsi#n#1',",TRUE,coke.pepsi,0,3.871198
ability,capability,n,n,"'ability#n#1',","'capability#n#1',",TRUE,ability.capability,0.69,1.417451
valve,car,n,n,"'valve#n#1',","'car#n#1',",TRUE,valve.car,16.85,11.068681
credit,card,n,n,"'credit#n#1',","'card#n#1',",TRUE,credit.card,17.11,12.193338
deal,cards,n,n,"'deal#n#1',","'cards#n#1',",TRUE,deal.cards,15.23,12.398026
rug,carpet,n,n,"'rug#n#1',","'carpet#n#1',",TRUE,rug.carpet,0,0
celery,carrot,n,n,"'celery#n#1',","'carrot#n#1',",TRUE,celery.carrot,0,9.873228
parkway,cars,n,n,"'parkway#n#1',","'cars#n#1',",TRUE,parkway.cars,NA,NA
money,cash,n,n,"'money#n#1',","'cash#n#1',",TRUE,money.cash,3.04,3.184957
moat,castle,n,n,"'moat#n#1',","'castle#n#1',",TRUE,moat.castle,0,20.959966
claw,cat,n,n,"'claw#n#1',","'cat#n#1',",TRUE,claw.cat,18.47,13.736264
protestant,catholic,n,n,"'protestant#n#1',","'catholic#n#1',",TRUE,protestant.catholic,1.89,3.789443
litter,cats,n,n,"'litter#n#1',","'cats#n#1',",TRUE,litter.cats,NA,NA
effect,cause,n,n,"'effect#n#1',","'cause#n#1',",TRUE,effect.cause,14,1.173311
cavern,cave,n,n,"'cavern#n#1',","'cave#n#1',",TRUE,cavern.cave,19.58,2.12823
middle,center,n,n,"'middle#n#1',","'center#n#1',",TRUE,middle.center,0,0
fiber,cereal,n,n,"'fiber#n#1',","'cereal#n#1',",TRUE,fiber.cereal,16.37,13.5483
ritual,ceremony,n,n,"'ritual#n#1',","'ceremony#n#1',",TRUE,ritual.ceremony,13.16,10.024058
link,chain,n,n,"'link#n#1',","'chain#n#1',",TRUE,link.chain,17.72,4.979856
blackboard,chalk,n,n,"'blackboard#n#1',","'chalk#n#1',",TRUE,blackboard.chalk,0,21.787916
opportunity,chance,n,n,"'opportunity#n#1',","'chance#n#1',",TRUE,opportunity.chance,0,0
havoc,chaos,n,n,"'havoc#n#1',","'chaos#n#1',",TRUE,havoc.chaos,18.39,24.677953
trait,characteristic,n,n,"'trait#n#1',","'characteristic#n#1',",TRUE,trait.characteristic,11.09,6.610652
elements,chemistry,n,n,"'elements#n#1',","'chemistry#n#1',",TRUE,elements.chemistry,0,21.295172
treasure,chest,n,n,"'treasure#n#1',","'chest#n#1',",TRUE,treasure.chest,17.3,17.155307
